QR_ID,SCRATCH_ID,PRODUCT_ID,BATCH,MFG_DATE
QR_52C98E0E,GBAC7Z,PRD_1780468187874_P3KI0,OCT_2026_JPR,01/2026
QR_51B27F46,GVX9PQ,PRD_1780468187964_GFWUR,OCT_2026_JPR,01/2026
QR_55A07954,W0HBAS,PRD_1780468187987_YPGGK,OCT_2026_JPR,01/2026
QR_29DB9933,BVM0TL,PRD_1780468188028_FHLWR,OCT_2026_JPR,01/2026
QR_34113F77,OUD754,PRD_1780468188050_ZQAC5,OCT_2026_JPR,01/2026
QR_B096BF7C,8COLIA,PRD_1780468188088_GVIY2,OCT_2026_JPR,01/2026
QR_0F5A3122,MECHI4,PRD_1780468188120_KPSDI,OCT_2026_JPR,01/2026
QR_2C8C3819,OX62F6,PRD_1780468188152_64PIG,OCT_2026_JPR,01/2026
QR_41212615,G9JT5I,PRD_1780468188176_Y5RI2,OCT_2026_JPR,01/2026
QR_83E5A93C,VTYQAU,PRD_1780468188218_M9CVS,OCT_2026_JPR,01/2026
QR_D45EC0C4,F9OVS7,PRD_1780468188256_W7X5L,OCT_2026_JPR,01/2026
QR_A9F7847D,1EZNQT,PRD_1780468188284_EPBCA,OCT_2026_JPR,01/2026
QR_58731D7F,5JPO07,PRD_1780468188304_AL3TW,OCT_2026_JPR,01/2026
QR_396EC1C3,O536N7,PRD_1780468188325_TEIG0,OCT_2026_JPR,01/2026
QR_79047783,ZLR5W2,PRD_1780468188344_RNE9Y,OCT_2026_JPR,01/2026
QR_2487AE08,19JZLK,PRD_1780468188363_Z50QO,OCT_2026_JPR,01/2026
QR_626975E8,S3OAYC,PRD_1780468188382_0JLSG,OCT_2026_JPR,01/2026
QR_A57A62BF,SDX5QH,PRD_1780468188404_V203M,OCT_2026_JPR,01/2026
QR_7D7CE119,LM8O7X,PRD_1780468188422_ELDMN,OCT_2026_JPR,01/2026
QR_6C83B615,LJU4SN,PRD_1780468188443_O0XCJ,OCT_2026_JPR,01/2026
QR_F2A4C681,XX6IFW,PRD_1780468188461_DPE8V,OCT_2026_JPR,01/2026
QR_9F8BB167,I5Q8N9,PRD_1780468188499_69598,OCT_2026_JPR,01/2026
QR_4AF2A60C,UFU9RR,PRD_1780468188519_WDVLU,OCT_2026_JPR,01/2026
QR_9306945B,UUWBOW,PRD_1780468188536_B240F,OCT_2026_JPR,01/2026
QR_ACB85B53,JNV3LZ,PRD_1780468188557_UAH6F,OCT_2026_JPR,01/2026
QR_C57E1E2B,E6C0HP,PRD_1780468188577_G9L60,OCT_2026_JPR,01/2026
QR_6B0A2646,VF8NPD,PRD_1780468188599_1L6M7,OCT_2026_JPR,01/2026
QR_8870E57E,IYXF1Y,PRD_1780468188617_NLVND,OCT_2026_JPR,01/2026
QR_11284CF1,QY38KF,PRD_1780468188637_Y45IE,OCT_2026_JPR,01/2026
QR_BB5B21B1,TRFC94,PRD_1780468188656_YF03F,OCT_2026_JPR,01/2026
QR_66BDB4B3,3C6DEO,PRD_1780468188681_FYKVC,OCT_2026_JPR,01/2026
QR_4E957AC0,MPVMY1,PRD_1780468188707_KO04P,OCT_2026_JPR,01/2026
QR_F2D70056,LK0IZX,PRD_1780468188726_IN2I3,OCT_2026_JPR,01/2026
QR_C8408172,DVHHL0,PRD_1780468188763_MNJ58,OCT_2026_JPR,01/2026
QR_C155ACEF,XK18RZ,PRD_1780468188782_A04YB,OCT_2026_JPR,01/2026
QR_C74A398A,O3J5J7,PRD_1780468188802_EZ3QZ,OCT_2026_JPR,01/2026
QR_E041B3D6,P1TTR6,PRD_1780468188819_QBT54,OCT_2026_JPR,01/2026
QR_3F99351A,DOI5KY,PRD_1780468188855_P8DRC,OCT_2026_JPR,01/2026
QR_297FCCB0,G4OPSG,PRD_1780468188873_ZYOQ4,OCT_2026_JPR,01/2026
QR_E19948D1,MS6XJU,PRD_1780468188900_KOYJ5,OCT_2026_JPR,01/2026
QR_1E525C57,E0UGZM,PRD_1780468188919_YKCK9,OCT_2026_JPR,01/2026
QR_66D1752F,OTB3BF,PRD_1780468188939_E491P,OCT_2026_JPR,01/2026
QR_D23DA7E3,D2KKMY,PRD_1780468188958_4GNQ7,OCT_2026_JPR,01/2026
QR_F9A4E44A,9GKQJY,PRD_1780468188981_I30GC,OCT_2026_JPR,01/2026
QR_855E7E26,X74YRK,PRD_1780468189007_BH3SK,OCT_2026_JPR,01/2026
QR_75E18057,A2QQOQ,PRD_1780468189056_XDGJ2,OCT_2026_JPR,01/2026
QR_6335B91E,07YMNF,PRD_1780468189085_C3QRX,OCT_2026_JPR,01/2026
